Date,open,high,low,close
2014-07-03,1316.8,1323.2,1309.4,1320.6
2014-07-02,1326.7,1333.2,1322.1,1330.9
2014-07-01,1326.5,1332.6,1325.2,1326.6
2014-06-30,1312.5,1322.4,1312.4,1322
2014-06-27,1317.4,1321.9,1317.3,1320
2014-06-26,1311.6,1319.3,1311.4,1317
2014-06-25,1314.5,1325.6,1314.3,1322.6
2014-06-24,1321,1323.9,1317.2,1321.3
2014-06-23,1314.6,1319.2,1313.3,1318.4
2014-06-20,1313.8,1320.5,1310.5,1316.6
2014-06-19,1287.3,1317.4,1286.4,1314.1
2014-06-18,1273.9,1274.4,1269,1272.7
2014-06-17,1264.6,1272.8,1258,1272
2014-06-16,1282.4,1283,1272.5,1275.3
2014-06-13,1272.6,1275.7,1272.2,1274.1
2014-06-12,1263.8,1274.6,1261.8,1274
2014-06-11,1264.3,1265.5,1258.6,1261.2
2014-06-10,1255.5,1263.8,1255.1,1260.1
2014-06-09,1257.1,1257.3,1252.3,1253.9
2014-06-06,1254.3,1258.2,1245.7,1252.5
2014-06-05,1244.5,1257.9,1243,1253.3
2014-06-04,1248.2,1249.4,1242.8,1244.3
2014-06-03,1247.2,1247.4,1240.2,1244.5
2014-06-02,1246.9,1251,1243.5,1244
2014-05-30,1250.5,1256.7,1242.2,1246
2014-05-29,1253.6,1261.5,1252.1,1257.1
2014-05-28,1266.2,1267.5,1256.1,1259.7
2014-05-27,1279,1279.1,1264.5,1265.7
2014-05-23,1289.9,1294.8,1286.7,1291.9
2014-05-22,1298.1,1304.1,1293.7,1295.2
2014-05-21,1290.1,1293.3,1286.5,1288.3
2014-05-20,1291.3,1297.2,1286.2,1294.8
2014-05-19,1300.3,1305.8,1293.5,1294
2014-05-16,1295.6,1295.9,1288,1293.6
2014-05-15,1303.4,1303.4,1291.4,1293.9
2014-05-14,1306.8,1309.4,1302.8,1306.2
2014-05-13,1291.5,1299,1290.5,1295.1
2014-05-12,1297.1,1303.7,1295.2,1296
2014-05-09,1293.5,1293.5,1286,1287.9
2014-05-08,1291.5,1292,1285.7,1288.1
2014-05-07,1302.5,1305.7,1287,1289.3
2014-05-06,1306.9,1309.6,1304.8,1308.9
2014-05-05,1314.6,1315.7,1309,1309.6
2014-05-02,1286.2,1304.8,1273,1303.1
2014-05-01,1280.4,1289,1278,1283.6
2014-04-30,1288.1,1296.8,1285.1,1296
2014-04-29,1290.5,1301.8,1289.8,1296.5
2014-04-28,1300.6,1303.7,1292.6,1299.1
2014-04-25,1302.2,1305,1298.6,1300.9
2014-04-24,1270,1298.5,1268.5,1290.7
2014-04-23,1287,1287.4,1281.3,1284.6
2014-04-22,1290.6,1293,1276.8,1281.1
2014-04-21,1283.8,1293,1283.1,1288.6
2014-04-17,1301.6,1302.4,1293.5,1294
2014-04-16,1301.2,1306.7,1298.1,1303.7
2014-04-15,1301.5,1304,1287.3,1300.5
2014-04-14,1323.9,1331,1322.7,1327.7
2014-04-11,1321.9,1322.3,1316.3,1319.2
2014-04-10,1323.6,1323.6,1316.8,1320.7
2014-04-09,1304.7,1306.8,1301.4,1306.1
2014-04-08,1313.5,1313.5,1308,1309.4
2014-04-07,1298.6,1301.9,1296,1298.6
2014-04-04,1293.2,1307.2,1290,1303.8
2014-04-03,1283.9,1289.5,1283.2,1284.9
2014-04-02,1289.2,1295,1289.2,1291.1
2014-04-01,1286.3,1287.1,1279.8,1280.2
2014-03-31,1293.8,1295.4,1283.6,1284.1
2014-03-28,1288.5,1297.5,1287.1,1294.6
2014-03-27,1293.8,1299.8,1293.8,1295.1
2014-03-26,1313.3,1313.9,1302,1303.7
2014-03-25,1309,1316.3,1307.2,1311.7
2014-03-24,1322.8,1323.6,1309.5,1311.4
2014-03-21,1339.6,1340.1,1334.5,1336.2
2014-03-20,1322.1,1331.7,1322.1,1331
2014-03-19,1348,1348,1338.9,1341.8
2014-03-18,1355.3,1363,1352,1359.4
2014-03-17,1380,1383,1370.7,1373.4
2014-03-14,1375.6,1388.1,1374.6,1379.5
2014-03-13,1366.2,1372.9,1366.1,1372.9
2014-03-12,1366,1371.4,1364.9,1371
2014-03-11,1351.8,1351.8,1339.3,1347.4
2014-03-10,1339.3,1344.6,1337.2,1342.2
2014-03-07,1344,1344,1329,1338.8
2014-03-06,1337.3,1352.4,1337.3,1352.4
2014-03-05,1338.4,1341.7,1335.4,1340.9
2014-03-04,1334.6,1338.7,1334.6,1338.5
2014-03-03,1348,1354.9,1347.5,1350.9
2014-02-28,1333.3,1333.3,1322.2,1322.2
2014-02-27,1331.8,1335,1331.6,1332.3
2014-02-26,1331.4,1336,1323.5,1328.5
2014-02-25,1338,1344,1334.4,1343.2
2014-02-24,1332.6,1338.5,1330,1338.5
2014-02-21,1323,1324.3,1321.5,1324.2
2014-02-20,1316.2,1317.4,1313.8,1317.4
2014-02-19,1319.8,1322,1319.8,1320.9
2014-02-18,1321.7,1325.2,1321.2,1325
2014-02-14,1317,1321,1316.3,1319.3
2014-02-13,1292.9,1300.9,1292.9,1300.7
2014-02-12,1290.8,1295.7,1290.5,1295.5
2014-02-11,1283.7,1295,1279,1290.7
2014-02-10,1278.3,1278.3,1274.5,1275.6
2014-02-07,1261,1271.8,1261,1263.9
2014-02-06,1262,1264.2,1254.7,1258.1
2014-02-05,1268,1273,1256.8,1257.8
2014-02-04,1251.7,1252,1249.5,1252
2014-02-03,1247.9,1266,1247.9,1260.9
2014-01-31,1253.5,1253.5,1240.8,1240.8
2014-01-30,1242.8,1247.4,1241,1243.6
2014-01-29,1268.2,1269.3,1262.6,1263.3
2014-01-28,1257.7,1258.2,1250.6,1251.7
2014-01-27,1261.9,1264.7,1259.9,1264.7
2014-01-24,1269,1269,1264.1,1265.7
2014-01-23,1256.6,1265.7,1256.6,1263.7
2014-01-22,1239.9,1239.9,1239.9,1239.9
2014-01-21,1240.3,1243.2,1238,1243.2
2014-01-17,1249.7,1253.7,1249,1253.5
2014-01-16,1243.3,1243.3,1241.7,1241.8
2014-01-15,1237.7,1241.2,1236.8,1240.2
2014-01-14,1253.7,1253.7,1244,1247.5
2014-01-13,1251.7,1253.2,1251.7,1253.1
2014-01-10,1247.5,1249.2,1246.6,1248.8
2014-01-09,1227.1,1231.5,1227.1,1231.1
