,EEM.OPEN,EEM.HIGH,EEM.LOW,EEM.CLOSE
2007-01-03,38.6667,38.8033,38.08,38.38
2007-01-04,38.0833,38.0933,37.57,37.85
2007-01-05,37.4667,37.55,36.74,36.7433
2007-01-08,36.96,37.15,36.7533,37.01
2007-01-09,36.7333,36.7833,35.9833,36.1833
2007-01-10,35.8033,36.2533,35.5133,36.1
2007-01-11,36.3133,37.05,36.19,36.5567
2007-01-12,36.8233,37.3,36.6333,37.3
2007-01-16,37.45,37.4833,37.1967,37.4333
2007-01-17,37.3333,37.4933,37.13,37.2767
2007-01-18,37.6,37.6333,36.8833,36.8833
2007-01-19,37.0167,37.5478,37.0167,37.5467
2007-01-22,37.6,37.8433,37.3833,37.5033
2007-01-23,37.5,38.3567,37.4533,38.3567
2007-01-24,38.33,38.8333,38.24,38.69
2007-01-25,38.4433,38.5,37.5,37.5
2007-01-26,37.6667,37.8267,37.25,37.73
2007-01-29,37.54,37.5667,37.1467,37.23
2007-01-30,37.3533,37.8067,37.3533,37.8067
2007-01-31,37.4633,38.1,37.2533,38.1
2007-02-01,38.2667,38.6,38.2667,38.5667
2007-02-02,38.5833,38.66,38.3333,38.45
2007-02-05,38.3367,38.5267,38.1667,38.4867
2007-02-06,38.77,38.9467,38.6,38.8667
2007-02-07,38.96,38.9867,38.6033,38.7167
2007-02-08,38.5067,38.7167,38.3267,38.51
2007-02-09,38.6667,38.7525,38,38.05
2007-02-12,38.1167,38.1167,37.6033,37.79
2007-02-13,37.9833,38.4667,37.9567,38.39
2007-02-14,38.4333,39.2933,37.95,39.2167
2007-02-15,39.25,39.35,39.1233,39.24
2007-02-16,39.0867,39.33,38.9633,39.33
2007-02-20,39.0333,39.5,39.01,39.4333
2007-02-21,39.1933,39.6267,39.0433,39.5433
2007-02-22,39.7267,39.86,39.3633,39.5
2007-02-23,39.4133,39.55,38.9,39.1667
2007-02-26,39.3467,39.41,38.8567,39.15
2007-02-27,37.6667,39.0333,34.9467,35.9667
2007-02-28,36.5,37.2733,36.2167,36.5833
2007-03-01,35.69,36.7167,35.18,36.3367
2007-03-02,36.0167,36.79,35.85,35.9867
2007-03-05,35.1833,35.8667,34.52,35.0967
2007-03-06,35.6733,36.7033,35.6733,36.62
2007-03-07,36.35,36.68,36.1867,36.3667
2007-03-08,37.0333,37.8133,36.9167,37.26
2007-03-09,37.5967,37.6,36.96,37.3967
2007-03-12,37.4333,37.8533,37.32,37.5933
2007-03-13,37.2467,37.4967,36.2933,36.3667
2007-03-14,36.45,36.86,35.7733,36.79
2007-03-15,36.5333,37.3367,36.5333,37.09
2007-03-16,37.18,37.3467,36.6333,36.75
2007-03-19,37.2667,37.6333,37.1933,37.6
2007-03-20,37.52,37.8667,37.4067,37.7833
2007-03-21,37.9567,39.11,37.8267,38.96
2007-03-22,39.0433,39.21,38.7067,38.7933
2007-03-23,38.92,39.08,38.7933,39.01
2007-03-26,38.92,39.0667,38.4,38.8767
2007-03-27,38.95,38.95,38.4567,38.7767
2007-03-28,38.3067,38.5,37.93,38.1633
2007-03-29,38.6667,38.93,38.3,38.84
2007-03-30,38.9,39.0667,38.45,38.8333
2007-04-02,38.95,39.22,38.74,39.15
2007-04-03,39.5,39.7867,39.3533,39.7
2007-04-04,39.88,40.0267,39.7133,39.9967
2007-04-05,39.9333,40.2333,39.8333,40.1
2007-04-09,40.28,40.5867,40.17,40.2567
2007-04-10,40.2833,40.5,40.26,40.4467
2007-04-11,40.6133,40.75,39.9667,40.0733
2007-04-12,40.1333,40.77,39.96,40.7433
2007-04-13,40.8333,40.99,40.3333,40.99
2007-04-16,41.1833,41.4633,41.1033,41.45
