,MDY.OPEN,MDY.HIGH,MDY.LOW,MDY.CLOSE
2007-01-03,147.71,148.21,145.51,147.09
2007-01-04,146.87,147.63,145.94,147.26
2007-01-05,146.82,146.83,145.33,145.33
2007-01-08,145.76,146.25,145.06,145.62
2007-01-09,146,146.54,145.16,146.45
2007-01-10,145.56,147.46,145.32,147.46
2007-01-11,147.35,148.92,147.32,148.28
2007-01-12,148.47,149.88,148.45,149.86
2007-01-16,150.02,150.28,148.76,148.86
2007-01-17,148.65,149.8,148.65,149.13
2007-01-18,149.1,149.33,147.57,147.77
2007-01-19,147.54,148.74,147.12,148.5
2007-01-22,148.7,148.84,147.54,148.08
2007-01-23,148.04,149.73,147.97,148.88
2007-01-24,149.44,150.62,148,150.45
2007-01-25,150.41,150.58,148.31,149.09
2007-01-26,149.27,149.47,147.94,149.25
2007-01-29,149.4,150.42,149.2,150.14
2007-01-30,150.26,150.77,149.83,150.73
2007-01-31,150.48,152.11,150.1,151.52
2007-02-01,152.2,153.76,152.07,153.16
2007-02-02,153.55,153.76,153,153.3
2007-02-05,153.53,154.02,153.14,153.83
2007-02-06,153.95,154.6,153.44,154.36
2007-02-07,154.61,155.48,154.24,155.2
2007-02-08,154.9,155.27,154.29,155.08
2007-02-09,154.99,155.39,153.23,154.41
2007-02-12,154.42,154.43,153.1,153.59
2007-02-13,153.64,155.12,153.64,154.98
2007-02-14,155.22,156.15,154.96,156.08
2007-02-15,156.02,156.549,155.72,156.11
2007-02-16,156.23,156.62,155.64,156.41
2007-02-20,156.44,157.75,155.8,157.45
2007-02-21,157.24,158.07,156.83,157.88
2007-02-22,158.22,158.62,157.37,158.62
2007-02-23,158.25,158.38,157.489,158.02
2007-02-26,158.76,158.85,156.91,157.9
2007-02-27,155.24,155.46,151.81,152.14
2007-02-28,152.45,153.56,151.58,153.15
2007-03-01,151.38,153.4,149.6,152.56
2007-03-02,152.18,152.4,149.86,149.86
2007-03-05,148.6,150.17,146.81,146.81
2007-03-06,148.56,150.45,148.21,149.45
2007-03-07,149.84,151.1,149.58,150.29
