,RWR.OPEN,RWR.HIGH,RWR.LOW,RWR.CLOSE
2007-01-03,88.45,88.67,87.198,87.87
2007-01-04,88.12,88.12,87.4234,88.02
2007-01-05,87.86,87.86,86.34,86.5
2007-01-08,86.73,86.73,85.98,86.31
2007-01-09,86.8,87.79,86.72,87.62
2007-01-10,87.45,88.83,87.35,88.81
2007-01-11,89.56,90.5,89.31,89.93
2007-01-12,89.8,90.48,89.8,90.17
2007-01-16,90.35,91.81,90.27,91.43
2007-01-17,91.5,92.03,90.57,91.62
2007-01-18,91.67,91.96,91.21,91.24
2007-01-19,91.21,92.4,91,92.27
2007-01-22,92.4,92.4,91.53,91.62
2007-01-23,91.78,92.48,91.75,91.92
2007-01-24,92.12,93.38,91.96,93.33
2007-01-25,94,94.7299,93.66,94
2007-01-26,94.06,94.3616,93.49,94.06
2007-01-29,94.31,94.71,93.964,94.42
2007-01-30,94.63,95,93.98,94.99
2007-01-31,95.15,96.02,94.61,95.67
2007-02-01,95.35,96.17,95,96.06
2007-02-02,95.9,96.36,95.68,96.36
2007-02-05,96.52,96.63,96.311,96.43
2007-02-06,96.76,97.89,96.76,97.73
2007-02-07,97.82,99.9374,97.5,99.86
2007-02-08,99.63,100.28,99.13,99.25
2007-02-09,99.5,99.6799,95.9,97.68
2007-02-12,97.91,97.91,95.88,96.0601
2007-02-13,96.3,98.1499,95.501,98.12
2007-02-14,97.15,98.5,97.07,97.33
2007-02-15,97.4,98.77,97.38,98.3
2007-02-16,98.27,98.27,96.72,97.92
2007-02-20,97.79,98.78,96.87,98.66
2007-02-21,98.5,98.5,97.63,98.3499
2007-02-22,98.5,98.5,97.56,97.83
2007-02-23,97.57,97.67,96.07,96.08
2007-02-26,96.4,96.546,94.037,95.8
2007-02-27,94.47,94.6,91.75,92.57
2007-02-28,92.8,94.21,92.67,93
2007-03-01,92.07,93.746,90,92.75
2007-03-02,91.97,92.39,90.8,90.8
2007-03-05,89.4,89.6922,87.32,87.32
2007-03-06,88.5,90.79,88.5,90.52
2007-03-07,90.65,90.65,89.04,89.16
2007-03-08,91.2,91.31,90.33,90.53
2007-03-09,91.6,91.94,91.01,91.94
2007-03-12,91.88,92.71,91.2711,92.35
2007-03-13,92,92.2,90,90.0199
2007-03-14,90.1,90.68,88.6601,90.44
2007-03-15,90.8,91.517,90.79,91.28
2007-03-16,90.59,90.98,89.81,90.04
2007-03-19,90.29,91.24,90.29,90.86
2007-03-20,90.62,91.3,90.3496,91.1
2007-03-21,91.2,92.49,90.545,92.25
2007-03-22,92.16,92.58,91.74,92.3
2007-03-23,92.4,92.9,91.75,92.38
2007-03-26,92.5,92.5,90.64,90.83
2007-03-27,90.65,90.73,89.63,89.8
2007-03-28,88.92,89.99,88.47,89.05
2007-03-29,89.75,90.14,88.89,89.36
2007-03-30,89.56,90.56,89.5,90.45
2007-04-02,90.65,91.472,90.5,91.35
2007-04-03,91.9,92.4199,91.5701,92.02
2007-04-04,92.15,92.15,91.0401,91.7
2007-04-05,91.45,91.81,91.45,91.58
2007-04-09,91.6,91.88,91.47,91.61
2007-04-10,91.69,92.48,91.69,92.22
2007-04-11,92,92.11,90.25,90.6
2007-04-12,90.7,90.7,89.59,90
2007-04-13,90.27,92.3,89.72,91.2
2007-04-16,91.7,91.7,90.77,91
2007-04-17,91.07,92.52,91.07,92.375
2007-04-18,92.3,92.3,91.84,92
2007-04-19,91.2,91.48,90.88,91.18
2007-04-20,92,92.05,91.46,91.8
2007-04-23,92.45,93.15,92.41,92.95
2007-04-24,93.07,93.07,91.81,92.35
2007-04-25,92.88,93.15,91.461,92.35
2007-04-26,92.37,92.64,91.8,92.2
2007-04-27,91.8,92.39,91.79,92.11
2007-04-30,92.01,92.23,90.38,90.38
2007-05-01,90.63,90.63,88.96,89.61
2007-05-02,90.09,90.55,89.38,90.41
2007-05-03,90.6,90.95,90.39,90.62
2007-05-04,90.61,90.7799,89.37,89.9
2007-05-07,89.8,90.27,89.8,90.2
2007-05-08,89.5,89.75,89.33,89.45
2007-05-09,89.3,90.91,89.3,90.2
2007-05-10,89.95,90.276,89.12,89.3
2007-05-11,89.5,90.52,89.5,90.3
2007-05-14,90.63,91.65,89.9401,89.95
2007-05-15,89.95,90.4899,88.5,88.64
2007-05-16,88.89,88.89,87.1501,87.62
2007-05-17,87.46,87.46,85.949,86.04
2007-05-18,85.5,85.88,84.41,84.98
