,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2007-01-03,89.22,89.46,88.66,89.07
2007-01-04,89.22,89.65,89.22,89.6
2007-01-05,88.8,89.4,88.75,89.22
2007-01-08,89.12,89.37,89.05,89.37
2007-01-09,89.48,89.48,89.22,89.37
2007-01-10,89.07,89.13,88.88,88.97
2007-01-11,88.79,88.8,88.26,88.45
2007-01-12,88.15,88.84,87.9,88.04
2007-01-16,88.23,88.24,88.03,88.2
2007-01-17,88.21,88.27,87.82,87.96
2007-01-18,87.94,88.28,87.78,88.23
2007-01-19,88.15,88.15,87.87,87.99
2007-01-22,88.15,88.33,88.12,88.2
2007-01-23,88.02,88.05,87.57,87.62
2007-01-24,87.66,87.7,87.5,87.61
2007-01-25,87.45,87.47,86.88,86.98
2007-01-26,86.78,87.08,86.61,86.91
2007-01-29,87.06,87.1,86.6,86.72
2007-01-30,86.89,86.91,86.76,86.82
2007-01-31,86.73,87.61,86.7,87.55
2007-02-01,87.65,87.76,87,87.09
2007-02-02,87.08,87.39,87.08,87.2
2007-02-05,87.4,87.46,87.16,87.32
2007-02-06,87.2,87.83,87.16,87.8
2007-02-07,87.9,88.12,87.84,88.06
2007-02-08,87.99,88.31,87.91,88.13
2007-02-09,87.89,87.92,87.55,87.63
2007-02-12,87.49,87.65,87.33,87.43
2007-02-13,87.49,87.49,87.2,87.24
2007-02-14,87.52,88.19,87.52,88.07
2007-02-15,88.53,88.58,88.33,88.33
2007-02-16,88.59,88.72,88.48,88.64
2007-02-20,88.5,88.85,88.5,88.84
2007-02-21,88.53,88.7,88.48,88.69
2007-02-22,88.41,88.45,88.0899,88.21
2007-02-23,88.53,88.94,88.49,88.84
2007-02-26,89.15,89.44,89.11,89.43
2007-02-27,89.74,91.26,89.6,90.56
2007-02-28,90.16,90.47,89.89,90.15
2007-03-01,90.28,90.43,89.65,89.74
2007-03-02,89.96,90.48,89.67,90.2
2007-03-05,90.48,90.5,90.0615,90.35
2007-03-06,90.06,90.36,89.99,90.08
2007-03-07,90.08,90.5,89.98,90.43
2007-03-08,90.29,90.42,90.11,90.35
2007-03-09,89.38,89.9,89.19,89.4
2007-03-12,89.73,89.98,89.68,89.75
2007-03-13,90.23,90.34,89.98,90.29
2007-03-14,90.15,90.54,89.84,89.88
2007-03-15,89.76,89.96,89.67,89.87
2007-03-16,89.67,89.92,89.65,89.85
2007-03-19,89.58,89.7,89.52,89.66
2007-03-20,89.91,89.95,89.69,89.71
2007-03-21,89.38,90.09,88.69,89.75
2007-03-22,89.48,89.48,88.83,89.04
2007-03-23,89.19,89.2,88.78,88.79
2007-03-26,88.62,89.27,88.5,88.9
2007-03-27,88.64,88.81,88.56,88.75
2007-03-28,88.91,89.11,88.41,88.57
2007-03-29,88.54,88.67,88.32,88.45
2007-03-30,88.65,88.92,88.22,88.28
2007-04-02,88.11,88.22,88.01,88.1
2007-04-03,88.02,88.17,87.98,87.99
2007-04-04,88.17,88.34,87.9,88.08
2007-04-05,88.1,88.12,87.71,87.75
2007-04-09,87.28,87.31,87.13,87.17
2007-04-10,87.39,87.55,87.31,87.43
2007-04-11,87.47,87.58,87.28,87.37
2007-04-12,87.5,87.5699,87.28,87.39
2007-04-13,87.41,87.47,87.01,87.12
2007-04-16,87.4,87.6763,87.4,87.6
2007-04-17,87.89,88.16,87.84,88.09
2007-04-18,88.37,88.56,88.36,88.53
2007-04-19,88.66,88.71,88.2,88.38
2007-04-20,88.45,88.45,88.06,88.15
2007-04-23,88.14,88.59,88.04,88.47
2007-04-24,88.45,88.82,88.45,88.8
2007-04-25,88.57,88.79,88.11,88.49
2007-04-26,88.43,88.43,87.85,87.85
2007-04-27,88.01,88.05,87.78,87.83
2007-04-30,88.33,88.75,88.25,88.75
2007-05-01,88.58,88.64,88.11,88.49
2007-05-02,88.44,88.48,88.29,88.44
2007-05-03,88.37,88.37,88.01,88.24
2007-05-04,88.52,88.64,88.5,88.6
