Date,Open,High,Low,Close
1983-09-01,31.56,31.6,31.53,31.6
1983-09-02,31.6,31.62,31.53,31.57
1983-09-06,31.48,31.48,31.31,31.36
1983-09-07,31.42,31.47,31.36,31.38
1983-09-08,31.35,31.35,31.2,31.34
1983-09-09,31.4,31.4,31.21,31.21
1983-09-12,31.24,31.27,31.14,31.15
1983-09-13,31.15,31.4,31.15,31.23
1983-09-14,31.18,31.55,31.14,31.4
1983-09-15,31.5,31.65,31.45,31.48
1983-09-16,31.5,31.56,31.4,31.55
1983-09-19,31.55,31.55,31.45,31.45
1983-09-20,31.49,31.5,31.3,31.33
1983-09-21,31.28,31.41,31.2,31.39
1983-09-22,31.35,31.42,31.3,31.3
1983-09-23,31.37,31.37,31.3,31.3
1983-09-26,31.3,31.3,31.2,31.22
1983-09-27,31.15,31.15,31.1,31.11
1983-09-28,31.06,31.06,30.72,30.76
1983-09-29,30.86,30.86,30.45,30.6
1983-09-30,30.53,30.55,30.2,30.36
1983-10-03,30.32,30.32,29.88,29.92
1983-10-04,29.77,30.43,29.7,30.18
1983-10-05,30.6,30.8,30.1,30.2
1983-10-06,30.14,30.35,30.14,30.26
1983-10-07,30.37,30.65,30.37,30.47
1983-10-10,30.75,30.85,30.75,30.85
1983-10-11,30.78,30.78,30.55,30.57
1983-10-12,30.57,30.57,30.41,30.52
1983-10-13,30.5,30.75,30.5,30.66
1983-10-14,30.73,30.73,30.5,30.55
1983-10-17,30.5,30.65,30.45,30.61
1983-10-18,30.61,30.68,30.57,30.68
1983-10-19,30.53,30.54,30.25,30.32
1983-10-20,30.2,30.3,30.15,30.3
1983-10-21,30.25,30.4,30.25,30.33
1983-10-24,30.42,30.48,30.39,30.44
1983-10-25,30.47,30.47,30.38,30.43
1983-10-26,30.25,30.3,30.18,30.23
1983-10-27,30.25,30.35,30.18,30.31
1983-10-28,30.35,30.43,30.23,30.26
1983-10-31,30.16,30.39,30.16,30.37
1983-11-01,30.42,30.42,30.31,30.38
1983-11-02,30.41,30.46,30.35,30.35
1983-11-03,30.4,30.48,30.39,30.42
1983-11-04,30.42,30.55,30.35,30.46
1983-11-07,30.41,30.46,30.36,30.39
1983-11-08,30.38,30.42,30.31,30.38
1983-11-09,30.4,30.48,30.35,30.38
1983-11-10,30.28,30.3,30.2,30.26
1983-11-11,30.31,30.31,30.1,30.14
1983-11-14,30.09,30.22,30.07,30.15
1983-11-15,30.1,30.25,30.08,30.17
1983-11-16,30.2,30.27,29.92,29.95
1983-11-21,29.05,29.26,29.05,29.14
1983-11-22,29.13,29.21,29.03,29.04
1983-11-23,29.18,29.28,29.11,29.19
1983-11-28,29.45,29.9,29.43,29.69
1983-11-29,29.65,29.7,29.33,29.39
1983-11-30,29.37,29.44,29.11,29.23
1983-12-01,29.25,29.38,29.25,29.28
1983-12-02,29.35,29.42,29.26,29.38
1983-12-05,29.4,29.4,29.27,29.3
1983-12-06,29.22,29.32,29.13,29.29
1983-12-07,29.1,29.15,29,29.06
1983-12-08,29.06,29.35,29.06,29.27
1983-12-09,29.23,29.35,29.23,29.31
1983-12-12,29.38,29.5,29.26,29.27
1983-12-13,29.3,29.3,29.2,29.21
1983-12-14,29.2,29.33,29.14,29.28
1983-12-15,29.21,29.23,29.08,29.11
1983-12-16,29.13,29.13,28.57,28.57
1983-12-19,28.27,28.42,28.27,28.38
