Date,Open,High,Low,Close
1986-08-11,236.88,241.2,236.87,240.68
1986-08-12,240.68,243.37,240.35,243.34
1986-08-13,243.34,246.51,243.06,245.67
1986-08-14,245.67,246.79,245.53,246.25
1986-08-15,246.25,247.15,245.7,247.15
1986-08-18,247.15,247.83,245.48,247.38
1986-08-19,247.38,247.42,245.82,246.51
1986-08-20,246.53,249.77,246.51,249.77
1986-08-21,249.77,250.45,249.11,249.67
1986-08-22,249.67,250.61,249.27,250.19
1986-08-25,250.19,250.26,247.76,247.81
1986-08-26,247.81,252.91,247.81,252.84
1986-08-27,252.84,254.24,252.66,253.3
1986-08-28,253.3,253.67,251.91,252.84
1986-08-29,252.84,254.07,251.73,252.93
1986-09-02,252.93,253.3,248.14,248.52
1986-09-03,248.52,250.08,247.59,250.08
1986-09-04,250.08,254.01,250.03,253.83
1986-09-05,253.83,254.13,250.33,250.47
1986-09-08,250.47,250.47,247.02,248.14
1986-09-09,248.14,250.21,246.94,247.67
1986-09-10,247.67,247.76,246.11,247.06
1986-09-11,247.06,247.06,234.67,235.18
1986-09-12,235.18,235.45,228.74,230.67
1986-09-15,230.67,232.82,229.44,231.94
1986-09-16,231.93,231.94,228.32,231.72
1986-09-17,231.73,233.81,231.38,231.68
1986-09-18,231.67,232.87,230.57,232.31
1986-09-19,232.3,232.31,230.69,232.21
1986-09-22,232.2,234.93,232.2,234.93
1986-09-23,234.96,235.88,234.5,235.67
1986-09-24,235.66,237.06,235.53,236.28
1986-09-25,231.83,236.28,230.67,231.83
1986-09-26,231.83,233.68,230.64,232.23
1986-09-29,232.23,232.23,228.08,229.91
1986-09-30,229.91,233.01,229.91,231.32
1986-10-01,231.32,234.62,231.32,233.6
1986-10-02,233.6,234.33,232.77,233.92
1986-10-03,233.92,236.16,232.79,233.71
1986-10-06,233.71,235.34,233.17,234.78
1986-10-07,234.74,235.18,233.46,234.41
1986-10-08,234.41,236.84,233.68,236.68
1986-10-09,236.67,238.2,235.72,235.85
1986-10-10,235.84,236.27,235.31,235.48
1986-10-13,235.52,235.91,235.02,235.91
1986-10-14,235.9,236.37,234.37,235.37
1986-10-15,235.36,239.03,235.27,238.8
1986-10-16,238.83,240.18,238.8,239.53
1986-10-17,239.5,239.53,237.71,238.84
1986-10-20,238.84,238.84,234.78,235.97
1986-10-21,236.03,236.49,234.95,235.88
1986-10-22,235.89,236.64,235.82,236.26
1986-10-23,236.28,239.76,236.26,239.28
1986-10-24,239.3,239.65,238.25,238.26
1986-10-27,238.22,238.77,236.72,238.77
1986-10-28,238.81,240.58,238.77,239.26
1986-10-29,239.23,241,238.98,240.94
1986-10-30,240.97,244.08,240.94,243.71
1986-10-31,243.7,244.51,242.95,243.98
1986-11-03,243.97,245.8,243.93,245.8
1986-11-04,245.8,246.43,244.42,246.2
1986-11-05,246.09,247.05,245.21,246.58
1986-11-06,246.54,246.9,244.3,245.87
1986-11-07,245.85,246.13,244.92,245.77
1986-11-10,245.75,246.22,244.68,246.13
1986-11-11,246.15,247.1,246.12,247.08
1986-11-12,247.06,247.67,245.68,246.64
1986-11-13,246.63,246.66,242.98,243.02
1986-11-14,243.01,244.51,241.96,244.5
1986-11-17,244.5,244.8,242.29,243.21
1986-11-18,243.2,243.23,236.65,236.78
1986-11-19,236.77,237.94,235.51,237.66
1986-11-20,237.66,242.05,237.66,242.05
1986-11-21,242.03,246.38,241.97,245.86
1986-11-24,245.86,248,245.21,247.45
1986-11-25,247.44,248.18,246.3,248.17
1986-11-26,248.14,248.9,247.73,248.77
1986-11-28,248.82,249.22,248.07,249.22
1986-12-01,249.22,249.22,245.72,249.05
1986-12-02,249.06,254,249.05,254
1986-12-03,254,254.87,253.24,253.85
1986-12-04,253.85,254.42,252.88,253.04
1986-12-05,253.05,253.89,250.71,251.17
1986-12-08,251.16,252.36,248.82,251.16
1986-12-09,251.16,251.27,249.25,249.28
1986-12-10,249.28,251.53,248.94,250.96
1986-12-11,250.97,250.98,247.15,248.17
1986-12-12,248.17,248.31,247.02,247.35
1986-12-15,247.31,248.23,244.92,248.21
1986-12-16,248.21,250.04,247.4,250.04
1986-12-17,250.01,250.04,247.19,247.56
1986-12-18,247.56,247.81,246.46,246.78
1986-12-19,246.79,249.96,245.89,249.73
1986-12-22,249.73,249.73,247.45,248.75
1986-12-23,248.75,248.75,245.85,246.34
1986-12-24,246.34,247.22,246.02,246.75
1986-12-26,246.75,247.09,246.73,246.92
1986-12-29,246.9,246.92,244.31,244.67
1986-12-30,244.66,244.67,243.04,243.37
1986-12-31,243.37,244.03,241.28,242.17
1987-01-02,242.17,246.45,242.17,246.45
1987-01-05,246.45,252.57,246.45,252.19
1987-01-06,252.2,253.99,252.14,252.78
1987-01-07,252.78,255.72,252.65,255.33
1987-01-08,255.36,257.29,254.97,257.29
1987-01-09,257.26,259.2,256.11,258.73
1987-01-12,258.72,261.36,257.92,260.3
1987-01-13,260.3,260.45,259.21,259.95
1987-01-14,259.95,262.72,259.62,262.64
1987-01-15,262.65,266.68,262.64,265.49
1987-01-16,265.46,267.24,264.31,266.28
1987-01-19,266.26,269.34,264,269.34
1987-01-20,269.34,271.03,267.65,269.04
1987-01-21,269.04,270.87,267.35,267.84
1987-01-22,267.84,274.05,267.32,273.91
1987-01-23,273.91,280.96,268.41,270.1
1987-01-26,270.1,270.4,267.73,269.61
1987-01-27,269.61,274.31,269.61,273.75
1987-01-28,273.75,275.71,273.03,275.4
1987-01-29,275.4,276.85,272.54,274.24
1987-01-30,274.24,274.24,271.38,274.08
1987-02-02,274.08,277.35,273.16,276.45
1987-02-03,276.45,277.83,275.84,275.99
1987-02-04,275.99,279.65,275.35,279.64
1987-02-05,279.64,282.26,278.66,281.16
1987-02-06,281.16,281.79,279.87,280.04
1987-02-09,280.04,280.04,277.24,278.16
1987-02-10,278.16,278.16,273.49,275.07
1987-02-11,275.07,277.71,274.71,277.54
1987-02-12,277.54,278.04,273.89,275.62
1987-02-13,275.62,280.91,275.01,279.7
1987-02-17,279.7,285.49,279.7,285.49
1987-02-18,285.49,287.55,282.97,285.42
1987-02-19,285.42,286.24,283.84,285.57
1987-02-20,285.57,285.98,284.31,285.48
1987-02-23,285.48,285.5,279.37,282.38
1987-02-24,282.38,283.33,281.45,282.88
1987-02-25,282.88,285.35,282.14,284
1987-02-26,284,284.4,280.73,282.96
1987-02-27,282.96,284.55,282.77,284.2
1987-03-02,284.17,284.83,282.3,283
1987-03-03,283,284.19,282.92,284.12
1987-03-04,284.12,288.62,284.12,288.62
1987-03-05,288.62,291.24,288.6,290.52
1987-03-06,290.52,290.67,288.77,290.66
1987-03-09,290.66,290.66,287.12,288.3
1987-03-10,288.3,290.88,287.89,290.86
1987-03-11,290.87,292.51,289.33,290.31
1987-03-12,290.33,291.91,289.66,291.22
1987-03-13,291.22,291.79,289.88,289.89
1987-03-16,289.88,289.89,286.64,288.23
1987-03-17,288.09,292.47,287.96,292.47
1987-03-18,292.49,294.58,290.87,292.78
1987-03-19,292.73,294.46,292.26,294.08
1987-03-20,294.08,298.17,294.08,298.17
1987-03-23,298.16,301.17,297.5,301.16
1987-03-24,301.17,301.92,300.14,301.64
1987-03-25,301.52,301.85,299.36,300.38
1987-03-26,300.39,302.72,300.38,300.93
1987-03-27,300.96,301.41,296.06,296.13
1987-03-30,296.1,296.13,286.69,289.2
1987-03-31,289.21,291.87,289.07,291.7
1987-04-01,291.59,292.39,288.34,292.39
1987-04-02,292.41,294.47,292.02,293.63
1987-04-03,293.64,301.3,292.3,300.41
1987-04-06,300.46,302.21,300.41,301.95
1987-04-07,301.94,303.65,296.67,296.69
1987-04-08,296.72,299.2,295.18,297.26
1987-04-09,297.25,297.71,291.5,292.86
1987-04-10,292.82,293.74,290.94,292.49
1987-04-13,292.48,293.36,285.62,285.62
1987-04-14,285.61,285.62,275.67,279.16
1987-04-15,279.17,285.14,279.16,284.44
1987-04-16,284.45,289.57,284.44,286.91
1987-04-20,286.91,288.36,284.55,286.09
1987-04-21,285.88,293.07,282.89,293.07
1987-04-22,293.05,293.46,286.98,287.19
1987-04-23,287.19,289.12,284.28,286.82
1987-04-24,286.81,286.82,281.18,281.52
1987-04-27,281.52,284.45,276.22,281.83
1987-04-28,281.83,285.95,281.83,282.51
1987-04-29,282.58,286.42,282.51,284.57
1987-04-30,284.58,290.08,284.57,288.36
1987-05-01,286.99,289.71,286.52,288.03
1987-05-04,288.02,289.99,286.39,289.36
1987-05-05,289.36,295.4,289.34,295.34
1987-05-06,295.35,296.19,293.6,295.47
1987-05-07,295.45,296.8,294.07,294.71
1987-05-08,294.73,296.18,291.73,293.37
1987-05-11,293.37,298.69,291.55,291.57
1987-05-12,291.57,293.3,290.18,293.3
1987-05-13,293.31,294.54,290.74,293.98
1987-05-14,293.98,295.1,292.95,294.24
1987-05-15,294.23,294.24,287.11,287.43
1987-05-18,287.43,287.43,282.57,286.65
1987-05-19,286.66,287.39,278.83,279.62
1987-05-20,279.62,280.89,277.01,278.21
1987-05-21,278.23,282.31,278.21,280.17
1987-05-22,280.17,283.33,280.17,282.16
1987-05-26,282.16,289.11,282.16,289.11
1987-05-27,289.07,290.78,288.19,288.73
1987-05-28,288.73,291.5,286.33,290.76
1987-05-29,290.77,292.87,289.7,290.1
1987-06-01,290.12,291.96,289.23,289.83
1987-06-02,289.82,290.94,286.93,288.46
1987-06-03,288.56,293.47,288.46,293.47
1987-06-04,293.46,295.1,292.76,295.09
1987-06-05,295.11,295.11,292.8,293.45
1987-06-08,293.46,297.03,291.55,296.72
1987-06-09,296.72,297.59,295.9,297.28
1987-06-10,297.28,300.81,295.66,297.47
1987-06-11,297.5,298.94,297.47,298.73
1987-06-12,298.77,302.26,298.73,301.62
1987-06-15,301.62,304.11,301.62,303.14
1987-06-16,303.12,304.86,302.6,304.76
1987-06-17,304.77,305.74,304.03,304.81
1987-06-18,304.78,306.13,303.88,305.69
1987-06-19,305.71,306.97,305.55,306.97
1987-06-22,306.98,310.2,306.97,309.65
1987-06-23,309.66,310.27,307.48,308.43
1987-06-24,308.44,308.91,306.32,306.86
1987-06-25,306.87,309.44,306.86,308.96
1987-06-26,308.94,308.96,306.36,307.16
1987-06-29,307.15,308.15,306.75,307.9
1987-06-30,307.89,308,303.01,304
1987-07-01,303.99,304,302.53,302.94
1987-07-02,302.96,306.34,302.94,305.63
1987-07-06,305.64,306.75,304.23,304.92
1987-07-07,304.91,308.63,304.73,307.4
1987-07-08,307.41,308.48,306.01,308.29
1987-07-09,308.3,309.56,307.42,307.52
1987-07-10,307.55,308.4,306.96,308.37
1987-07-13,308.41,308.41,305.49,307.63
1987-07-14,307.67,310.69,307.46,310.68
1987-07-15,310.67,312.08,309.07,310.42
1987-07-16,311,312.83,310.42,312.7
1987-07-17,312.71,314.59,312.38,314.59
1987-07-20,314.56,314.59,311.24,311.39
1987-07-21,311.36,312.41,307.51,308.55
1987-07-22,308.56,309.12,307.22,308.47
1987-07-23,308.5,309.63,306.1,307.81
1987-07-24,307.82,309.28,307.78,309.27
1987-07-27,309.3,310.7,308.61,310.65
1987-07-28,310.65,312.33,310.28,312.33
1987-07-29,312.34,315.65,311.73,315.65
1987-07-30,315.69,318.53,315.65,318.05
1987-07-31,318.05,318.85,317.56,318.66
1987-08-03,318.62,320.26,316.52,317.57
1987-08-04,317.59,318.25,314.51,316.23
1987-08-05,316.25,319.74,316.23,318.45
1987-08-06,318.49,322.09,317.5,322.09
1987-08-07,322.1,324.15,321.82,323
1987-08-10,322.98,328,322.95,328
1987-08-11,328.02,333.4,328,333.33
1987-08-12,333.32,334.57,331.06,332.39
1987-08-13,332.38,335.52,332.38,334.65
1987-08-14,334.63,336.08,332.99,333.99
1987-08-17,333.98,335.43,332.88,334.11
1987-08-18,334.1,334.11,326.43,329.25
1987-08-19,329.26,329.89,326.54,329.83
1987-08-20,331.49,335.19,329.83,334.84
1987-08-21,334.85,336.37,334.3,335.9
1987-08-24,335.89,335.9,331.92,333.33
1987-08-25,333.37,337.89,333.33,336.77
1987-08-26,336.77,337.39,334.46,334.57
1987-08-27,334.56,334.57,331.1,331.38
1987-08-28,331.37,331.38,327.03,327.04
1987-08-31,327.03,330.09,326.99,329.8
1987-09-01,329.81,332.18,322.83,323.4
1987-09-02,323.4,324.53,318.76,321.68
1987-09-03,321.47,324.29,317.39,320.21
1987-09-04,320.21,322.03,316.53,316.7
1987-09-08,316.68,316.7,308.56,313.56
1987-09-09,313.6,315.41,312.29,313.92
1987-09-10,313.92,317.59,313.92,317.13
1987-09-11,317.14,322.45,317.13,321.98
1987-09-14,322.02,323.81,320.4,323.08
1987-09-15,323.07,323.08,317.63,317.74
1987-09-16,317.75,319.5,314.61,314.86
1987-09-17,314.94,316.08,313.45,314.93
1987-09-18,314.98,316.99,314.86,314.86
1987-09-21,314.92,317.66,310.12,310.54
1987-09-22,310.54,319.51,308.69,319.5
1987-09-23,319.49,321.83,319.12,321.19
1987-09-24,321.09,322.01,319.12,319.72
1987-09-25,319.72,320.55,318.1,320.16
1987-09-28,320.16,325.33,320.16,323.2
1987-09-29,323.2,324.63,320.27,321.69
1987-09-30,321.69,322.53,320.16,321.83
1987-10-01,321.83,327.34,321.83,327.33
1987-10-02,327.33,328.94,327.22,328.07
1987-10-05,328.07,328.57,326.09,328.08
1987-10-06,328.08,328.08,319.17,319.22
1987-10-07,319.22,319.39,315.78,318.54
1987-10-08,318.54,319.34,312.02,314.16
1987-10-09,314.16,315.04,310.97,311.07
1987-10-12,311.07,311.07,306.76,309.39
1987-10-13,309.39,314.53,309.39,314.52
1987-10-14,314.52,314.52,304.78,305.23
1987-10-15,305.21,305.23,298.07,298.08
1987-10-16,298.08,298.92,281.52,282.7
1987-10-19,282.7,282.7,224.83,224.84
1987-10-20,225.06,245.62,216.46,236.83
1987-10-21,236.83,259.26,236.83,258.38
1987-10-22,258.24,258.58,242.99,248.25
1987-10-23,248.29,250.7,242.76,248.22
1987-10-26,248.2,248.22,227.26,227.67
1987-10-27,227.67,237.81,227.67,233.19
1987-10-28,233.19,238.58,226.29,233.28
1987-10-29,233.31,246.69,233.28,244.77
1987-10-30,244.77,254.04,244.77,251.79
1987-11-02,251.73,255.75,249.15,255.75
1987-11-03,255.75,255.75,242.78,250.82
1987-11-04,250.81,251,246.34,248.96
1987-11-05,248.93,256.09,247.72,254.48
1987-11-06,254.49,257.21,249.68,250.41
1987-11-09,250.41,250.41,243.01,243.17
1987-11-10,243.14,243.17,237.64,239
1987-11-11,239.01,243.86,239,241.9
1987-11-12,241.93,249.9,241.9,248.52
1987-11-13,248.54,249.42,245.64,245.64
1987-11-16,245.69,249.54,244.98,246.76
1987-11-17,246.73,246.76,240.81,243.04
1987-11-18,243.09,245.55,240.67,245.55
1987-11-19,245.54,245.55,239.7,240.05
1987-11-20,240.04,242,235.89,242
1987-11-23,242,242.99,240.5,242.99
1987-11-24,242.98,247.9,242.98,246.39
